Customer Number,Business Name,email,Balance,Credit Limit
BA91,Baywater Inc,Baywater_Inc@bigpond.com,"$3478.50","$8000.00"
BE52,Better Foods,Better_Foods@bigpond.com,"$4920.20","$5000.00"
CT22,Certified Temps,Certified_Temps@bigpond.com,$57.00,"$5000.00"
DE76,Derben Enterprise,Derben_Enterprise@bigpond.com,"$4125.00","$10000.00"
GU63,Gump Co,Gump_Co@bigpond.com,"$7822.00","$8000.00"
GY16,Gylder-Yansen,Gylder-Yansen@bigpond.com,"$3912.00","$8000.00"
MN72,"Manross Inc",Manross_Inc@bigpond.com,$0.00,"$8000.00"
NG19,Norton Ghent,Norton_Ghent@bigpond.com,"$7867.50","$8000.00"
SO22,"Southwest Inc",Southwest_Inc@bigpond.com,"$2336.25","$10000.00"
SP92,Samuel A. Port,Samuel A_ Port@bigpond.com,"$9000.00","$10000.00"
